gene_id,trait,tier,qtl,functional_note,phenotype,causation_direction,evidence_type,reference,doi,pmid,curated
Zm00001eb123060,prolif,2 - inflorescence architecture (branching / meristem / KRN),"",Inflorescence branching — meristem determinacy in ear/tassel.,"","","","Bortiri et al. 2006, Plant Cell, doi:10.1105/tpc.105.039032",10.1105/tpc.105.039032,"",source
Zm00001eb126430,prolif,2 - inflorescence architecture (branching / meristem / KRN),"",Ear meristem size / kernel row number — CLE-peptide signalling.,"","","","Je et al. 2016, Nat Genet, doi:10.1038/ng.3567",10.1038/ng.3567,"",source
Zm00001eb141160,prolif,1 - ear number / prolificacy (core),"",Ear number / prolificacy — direct target of tb1; promotes ear (vs tassel) identity in axillary meristems. Loss → tassels replace upper ears.,"","","","Dong et al. 2017, PNAS, doi:10.1073/pnas.1714960114",10.1073/pnas.1714960114,"",source
Zm00001eb184050,prolif,2 - inflorescence architecture (branching / meristem / KRN),"",Ear meristem size / kernel row & ear fasciation — CLV-WUS pathway.,"","","","Taguchi-Shiobara et al. 2001, Genes Dev, doi:10.1101/gad.208501 (fea2 cloning); Bommert et al. 2013, Nat Genet, doi:10.1038/ng.2534 (KRN natural variation)",10.1101/gad.208501,"",source
Zm00001eb199880,prolif,2 - inflorescence architecture (branching / meristem / KRN),"",Inflorescence branching / kernel row number — paralog of ub2.,"","","","Chuck et al. 2014, PNAS, doi:10.1073/pnas.1407401112",10.1073/pnas.1407401112,"",source
Zm00001eb228140,prolif,2 - inflorescence architecture (branching / meristem / KRN),"",Ear/tassel meristem size — CLV-WUS pathway; kernel row number.,"","","","Bommert et al. 2005, Development, doi:10.1242/dev.01671",10.1242/dev.01671,"",source
Zm00001eb312340,prolif,2 - inflorescence architecture (branching / meristem / KRN),"",Inflorescence branching — restricts long-branch (spikelet-pair) formation; affects ear/tassel branch number.,"","","","Vollbrecht et al. 2005, Nature, doi:10.1038/nature03892",10.1038/nature03892,"",source
Zm00001eb327910,prolif,2 - inflorescence architecture (branching / meristem / KRN),"",Inflorescence branching — meristem determinacy; sugar signalling.,"","","","Satoh-Nagasawa et al. 2006, Nature, doi:10.1038/nature04725",10.1038/nature04725,"",source
Zm00001eb003760,spad,"","",Chl catabolism — pheophorbide a oxygenase (lethal leaf spot1),"","","","","","",TODO
Zm00001eb044210,spad,"","",Chl biosynthesis — glutamyl-tRNA reductase,"","","","","","",TODO
Zm00001eb076680,spad,"","",Chl catabolism — STAY-GREEN-LIKE,"","","","","","",TODO
Zm00001eb103480,spad,"","",Chl catabolism — STAY-GREEN homolog,"","","","","","",TODO
Zm00001eb118900,spad,"","",Regulator (TF) — GOLDEN2 (chloroplast development),"","","","","","",TODO
Zm00001eb119410,spad,"","",Chl catabolism — chlorophyll b reductase (non-yellow coloring1),"","","","","","",TODO
Zm00001eb179680,spad,"","",Light harvesting — chl a/b binding protein,"","","","","","",TODO
Zm00001eb207130,spad,"","",Light harvesting — chl a/b binding protein,"","","","","","",TODO
Zm00001eb231810,spad,"","",Chl catabolism — pheophytinase,"","","","","","",TODO
Zm00001eb319560,spad,"","",Chl catabolism — SGR / STAY-GREEN,"","","","","","",TODO
Zm00001eb324550,spad,"","","Regulator (TF) — NAC132, activates nye1","","","","","","",TODO
Zm00001eb357390,spad,"","",Chl biosynthesis — protochlorophyllide oxidoreductase,"","","","","","",TODO
Zm00001eb357740,spad,"","",Light harvesting — LHCII chl a/b binding protein 10,"","","","","","",TODO
Zm00001eb358510,spad,"","",Chl biosynthesis — uroporphyrinogen decarboxylase,"","","","","","",TODO
Zm00001eb371980,spad,"","",Regulator (TF) — GOLDEN2-LIKE1,"","","","","","",TODO
Zm00001eb407780,spad,"","",Chl biosynthesis — Mg-chelatase subunit I (oil yellow1; maize SPAD gene),"","","","","","",TODO
Zm00001eb429750,spad,"","",Chl biosynthesis — protochlorophyllide oxidoreductase,"","","","","","",TODO
Zm00001eb433610,spad,"","",Chl biosynthesis — Mg-chelatase subunit H,"","","","","","",TODO
Zm00001eb003760,spad20das,"","",Chl catabolism — pheophorbide a oxygenase (lethal leaf spot1),"","","","","","",TODO
Zm00001eb044210,spad20das,"","",Chl biosynthesis — glutamyl-tRNA reductase,"","","","","","",TODO
Zm00001eb076680,spad20das,"","",Chl catabolism — STAY-GREEN-LIKE,"","","","","","",TODO
Zm00001eb103480,spad20das,"","",Chl catabolism — STAY-GREEN homolog,"","","","","","",TODO
Zm00001eb118900,spad20das,"","",Regulator (TF) — GOLDEN2 (chloroplast development),"","","","","","",TODO
Zm00001eb119410,spad20das,"","",Chl catabolism — chlorophyll b reductase (non-yellow coloring1),"","","","","","",TODO
Zm00001eb179680,spad20das,"","",Light harvesting — chl a/b binding protein,"","","","","","",TODO
Zm00001eb207130,spad20das,"","",Light harvesting — chl a/b binding protein,"","","","","","",TODO
Zm00001eb231810,spad20das,"","",Chl catabolism — pheophytinase,"","","","","","",TODO
Zm00001eb319560,spad20das,"","",Chl catabolism — SGR / STAY-GREEN,"","","","","","",TODO
Zm00001eb324550,spad20das,"","","Regulator (TF) — NAC132, activates nye1","","","","","","",TODO
Zm00001eb357390,spad20das,"","",Chl biosynthesis — protochlorophyllide oxidoreductase,"","","","","","",TODO
Zm00001eb357740,spad20das,"","",Light harvesting — LHCII chl a/b binding protein 10,"","","","","","",TODO
Zm00001eb358510,spad20das,"","",Chl biosynthesis — uroporphyrinogen decarboxylase,"","","","","","",TODO
Zm00001eb371980,spad20das,"","",Regulator (TF) — GOLDEN2-LIKE1,"","","","","","",TODO
Zm00001eb407780,spad20das,"","",Chl biosynthesis — Mg-chelatase subunit I (oil yellow1; maize SPAD gene),"","","","","","",TODO
Zm00001eb429750,spad20das,"","",Chl biosynthesis — protochlorophyllide oxidoreductase,"","","","","","",TODO
Zm00001eb433610,spad20das,"","",Chl biosynthesis — Mg-chelatase subunit H,"","","","","","",TODO
Zm00001eb003760,spad36das,"","",Chl catabolism — pheophorbide a oxygenase (lethal leaf spot1),"","","","","","",TODO
Zm00001eb044210,spad36das,"","",Chl biosynthesis — glutamyl-tRNA reductase,"","","","","","",TODO
Zm00001eb076680,spad36das,"","",Chl catabolism — STAY-GREEN-LIKE,"","","","","","",TODO
Zm00001eb103480,spad36das,"","",Chl catabolism — STAY-GREEN homolog,"","","","","","",TODO
Zm00001eb118900,spad36das,"","",Regulator (TF) — GOLDEN2 (chloroplast development),"","","","","","",TODO
Zm00001eb119410,spad36das,"","",Chl catabolism — chlorophyll b reductase (non-yellow coloring1),"","","","","","",TODO
Zm00001eb179680,spad36das,"","",Light harvesting — chl a/b binding protein,"","","","","","",TODO
Zm00001eb207130,spad36das,"","",Light harvesting — chl a/b binding protein,"","","","","","",TODO
Zm00001eb231810,spad36das,"","",Chl catabolism — pheophytinase,"","","","","","",TODO
Zm00001eb319560,spad36das,"","",Chl catabolism — SGR / STAY-GREEN,"","","","","","",TODO
Zm00001eb324550,spad36das,"","","Regulator (TF) — NAC132, activates nye1","","","","","","",TODO
Zm00001eb357390,spad36das,"","",Chl biosynthesis — protochlorophyllide oxidoreductase,"","","","","","",TODO
Zm00001eb357740,spad36das,"","",Light harvesting — LHCII chl a/b binding protein 10,"","","","","","",TODO
Zm00001eb358510,spad36das,"","",Chl biosynthesis — uroporphyrinogen decarboxylase,"","","","","","",TODO
Zm00001eb371980,spad36das,"","",Regulator (TF) — GOLDEN2-LIKE1,"","","","","","",TODO
Zm00001eb407780,spad36das,"","",Chl biosynthesis — Mg-chelatase subunit I (oil yellow1; maize SPAD gene),"","","","","","",TODO
Zm00001eb429750,spad36das,"","",Chl biosynthesis — protochlorophyllide oxidoreductase,"","","","","","",TODO
Zm00001eb433610,spad36das,"","",Chl biosynthesis — Mg-chelatase subunit H,"","","","","","",TODO
Zm00001eb048110,stpi,"","",structural (GST),"","","","","","",TODO
Zm00001eb062510,stpi,"","",structural (CHI),"","","","","","",TODO
Zm00001eb074320,stpi,"","",regulatory (bHLH),"","","","","","",TODO
Zm00001eb159020,stpi,"","",structural (DFR),"","","","","","",TODO
Zm00001eb198030,stpi,"","",structural (CHS),"","","","","","",TODO
Zm00001eb229190,stpi,"","",structural (ANS),"","","","","","",TODO
Zm00001eb245960,stpi,"","",structural (F3'H),"","","","","","",TODO
Zm00001eb278680,stpi,"","",regulatory (MYB),"","","","","","",TODO
Zm00001eb303250,stpi,"","",regulatory (bHLH repressor),"","","","","","",TODO
Zm00001eb373660,stpi,"","",regulatory (MYB),"","","","","","",TODO
Zm00001eb374230,stpi,"","",structural (UFGT),"","","","","","",TODO
Zm00001eb429330,stpi,"","",regulatory (bHLH),"","","","","","",TODO
Zm00001eb024680,stpu,"","",HD-ZIP IV TF; trichome patterning & anther development,"","","","","","",TODO
Zm00001eb035030,stpu,"","",SBP-box/SPL TF (unbranched2; SPL family),"","","","","","",TODO
Zm00001eb143110,stpu,"","",SBP-box/SPL TF (nearest SBP to chr3 StPu peak),"","","","","","",TODO
Zm00001eb175150,stpu,"","",SBP-box/SPL TF (teosinte glume architecture1),"","","","","","",TODO
Zm00001eb199880,stpu,"","",SBP-box/SPL TF (unbranched3),"","","","","","",TODO
Zm00001eb265710,stpu,"","","WOX3 homeobox (ZmWOX3A; trichome initiation, downstream of SPL)","","","","","","",TODO
Zm00001eb316740,stpu,"","",SBP-box/SPL TF (tasselsheath4),"","","","","","",TODO
Zm00001eb349730,stpu,"","",SBP-box/SPL TF (nearest SBP to chr8 StPu peak),"","","","","","",TODO
Zm00001eb355310,stpu,"","",WOX3 homeobox (paralog of ZmWOX3A),"","","","","","",TODO
Zm00001eb387280,stpu,"","","AP2 TF; suppresses adult epidermal hairs (juvenile→adult phase change), proximal flank of mhl1","","","","","","",TODO
Zm00001eb391990,stpu,"","",SIAMESE-related CDK inhibitor (ZmSMR4; cell-cycle/trichome),"","","","","","",TODO
locus:mhl1,stpu,"","",macrohair QTL; inv9f mexicana inversion (no cloned causal gene),"","","","","","",TODO
Zm00001eb332400,spad,2,"","bHLH PIF3; overexpression increases chlorophyll content (and fluorescence, cell-membrane stability) under drought/salt stress","bHLH PIF3; overexpression increases chlorophyll content (and fluorescence, cell-membrane stability) under drought/salt stress",increase (chlorophyll under stress),"overexpression (heterologous, in rice)","Gao et al. 2015, Plant Mol Biol 87:413-428",10.1007/s11103-015-0288-z,"",curated
Zm00001eb332400,spad20das,2,"","bHLH PIF3; overexpression increases chlorophyll content (and fluorescence, cell-membrane stability) under drought/salt stress","bHLH PIF3; overexpression increases chlorophyll content (and fluorescence, cell-membrane stability) under drought/salt stress",increase (chlorophyll under stress),"overexpression (heterologous, in rice)","Gao et al. 2015, Plant Mol Biol 87:413-428",10.1007/s11103-015-0288-z,"",curated
Zm00001eb332400,spad36das,2,"","bHLH PIF3; overexpression increases chlorophyll content (and fluorescence, cell-membrane stability) under drought/salt stress","bHLH PIF3; overexpression increases chlorophyll content (and fluorescence, cell-membrane stability) under drought/salt stress",increase (chlorophyll under stress),"overexpression (heterologous, in rice)","Gao et al. 2015, Plant Mol Biol 87:413-428",10.1007/s11103-015-0288-z,"",curated
Zm00001eb288410,spad,2,"","Clade-I SWEET glucose transporter, subsidiary-cell-localized; cst1 loss-of-function causes reduced stomatal opening, carbon starvation and early leaf senescence","Clade-I SWEET glucose transporter, subsidiary-cell-localized; cst1 loss-of-function causes reduced stomatal opening, carbon starvation and early leaf senescence",decrease (early senescence / chlorosis),loss-of-function (EMS mutant + CRISPR; map-based cloning),"Wang et al. 2019, Plant Cell 31:1328-1343",10.1105/tpc.18.00736,"",curated
Zm00001eb288410,spad20das,2,"","Clade-I SWEET glucose transporter, subsidiary-cell-localized; cst1 loss-of-function causes reduced stomatal opening, carbon starvation and early leaf senescence","Clade-I SWEET glucose transporter, subsidiary-cell-localized; cst1 loss-of-function causes reduced stomatal opening, carbon starvation and early leaf senescence",decrease (early senescence / chlorosis),loss-of-function (EMS mutant + CRISPR; map-based cloning),"Wang et al. 2019, Plant Cell 31:1328-1343",10.1105/tpc.18.00736,"",curated
Zm00001eb288410,spad36das,2,"","Clade-I SWEET glucose transporter, subsidiary-cell-localized; cst1 loss-of-function causes reduced stomatal opening, carbon starvation and early leaf senescence","Clade-I SWEET glucose transporter, subsidiary-cell-localized; cst1 loss-of-function causes reduced stomatal opening, carbon starvation and early leaf senescence",decrease (early senescence / chlorosis),loss-of-function (EMS mutant + CRISPR; map-based cloning),"Wang et al. 2019, Plant Cell 31:1328-1343",10.1105/tpc.18.00736,"",curated
Zm00001eb135910,spad,2,"","NAC-domain TF, cloned stay-green QTL; RNAi knockdown delays senescence and increases stay-green (NAC7 is a negative regulator of chlorophyll retention)","NAC-domain TF, cloned stay-green QTL; RNAi knockdown delays senescence and increases stay-green (NAC7 is a negative regulator of chlorophyll retention)",increase-via-knockdown (stay-green),knockdown (RNAi) of a cloned QTL,"Zhang et al. 2019, Plant Biotechnol J 17:2272-2285",10.1111/pbi.13139,"",curated
Zm00001eb135910,spad20das,2,"","NAC-domain TF, cloned stay-green QTL; RNAi knockdown delays senescence and increases stay-green (NAC7 is a negative regulator of chlorophyll retention)","NAC-domain TF, cloned stay-green QTL; RNAi knockdown delays senescence and increases stay-green (NAC7 is a negative regulator of chlorophyll retention)",increase-via-knockdown (stay-green),knockdown (RNAi) of a cloned QTL,"Zhang et al. 2019, Plant Biotechnol J 17:2272-2285",10.1111/pbi.13139,"",curated
Zm00001eb135910,spad36das,2,"","NAC-domain TF, cloned stay-green QTL; RNAi knockdown delays senescence and increases stay-green (NAC7 is a negative regulator of chlorophyll retention)","NAC-domain TF, cloned stay-green QTL; RNAi knockdown delays senescence and increases stay-green (NAC7 is a negative regulator of chlorophyll retention)",increase-via-knockdown (stay-green),knockdown (RNAi) of a cloned QTL,"Zhang et al. 2019, Plant Biotechnol J 17:2272-2285",10.1111/pbi.13139,"",curated
Zm00001eb346800,spad,2,"",proposed els5 candidate gene (141-bp insertion 268 bp upstream of the start codon); els5 mutant shows premature leaf senescence,premature leaf-senescence mutant; mapped to a 1.1 Mb B73 interval (gene not cloned),decrease (premature senescence),premature-senescence mutant + fine-mapping; candidate gene proposed (not functionally validated),"Gao et al. 2023, Plant Cell Rep 42:1651-1663",10.1007/s00299-023-03051-4,"",curated
Zm00001eb346800,spad20das,2,"",proposed els5 candidate gene (141-bp insertion 268 bp upstream of the start codon); els5 mutant shows premature leaf senescence,premature leaf-senescence mutant; mapped to a 1.1 Mb B73 interval (gene not cloned),decrease (premature senescence),premature-senescence mutant + fine-mapping; candidate gene proposed (not functionally validated),"Gao et al. 2023, Plant Cell Rep 42:1651-1663",10.1007/s00299-023-03051-4,"",curated
Zm00001eb346800,spad36das,2,"",proposed els5 candidate gene (141-bp insertion 268 bp upstream of the start codon); els5 mutant shows premature leaf senescence,premature leaf-senescence mutant; mapped to a 1.1 Mb B73 interval (gene not cloned),decrease (premature senescence),premature-senescence mutant + fine-mapping; candidate gene proposed (not functionally validated),"Gao et al. 2023, Plant Cell Rep 42:1651-1663",10.1007/s00299-023-03051-4,"",curated
